,lat,lon,city,style,building_type,cooling_type,heating_type,price,number_of_beds,number_of_baths,extra_space,fire_place
0,43.33341,-79.88293,Waterdown,Townhouse,Row / Townhouse,Central air conditioning,Forced air,749900.0,2,3,0,0
1,43.8563707,-79.3376825,Markham,Detached,House,Central air conditioning,Forced air,2998000.0,5,8,1,1
2,43.67089,-79.316931,Toronto,Detached,House,Central air conditioning,Forced air,2599900.0,3,4,0,1
3,43.5896231,-79.6443879,Mississauga,Semi-Detached,House,Central air conditioning,Forced air,2499850.0,4,4,1,0
4,43.447436,-79.666672,Oakville,Detached,House,Central air conditioning,Forced air,1999000.0,5,4,0,1
5,43.650005,-79.482809,Toronto,Detached,House,Wall unit,Hot water radiator heat,1499000.0,3,2,0,0
6,43.1561412,-79.9161804,Mount Hope,Detached,House,Central air conditioning,"Baseboard heaters, Forced air",1425000.0,3,3,0,0
7,43.8801166,-79.4392925,Richmond Hill,Townhouse,Row / Townhouse,Central air conditioning,Forced air,1199000.0,3,3,0,0
8,43.8801166,-79.4392925,Richmond Hill,Detached,House,Central air conditioning,Forced air,1098000.0,3,2,0,0
9,43.6858146,-79.7599337,Brampton,Detached,House,Central air conditioning,Forced air,999900.0,4,2,0,1
10,43.8975558,-78.8635324,Oshawa,Detached,House,Central air conditioning,Forced air,949900.0,4,3,1,0
11,43.5896231,-79.6443879,Mississauga,Townhouse,Row / Townhouse,Central air conditioning,Forced air,875000.0,3,3,0,1
12,45.4208777,-75.6901106,Ottawa,Detached,House,Central air conditioning,Forced air,866000.0,3,2,0,0
13,43.641342,-79.399759,Toronto,Townhouse,Row / Townhouse,Wall unit,Baseboard heaters,838000.0,2,2,1,1
14,43.6858146,-79.7599337,Brampton,Townhouse,Row / Townhouse,Central air conditioning,Forced air,749888.0,3,3,0,1
15,45.4208777,-75.6901106,Ottawa,Townhouse,Row / Townhouse,Central air conditioning,Forced air,645900.0,3,2,0,1
16,45.0154164,-75.644567,Kemptville,Detached,House,Wall unit,"Baseboard heaters, Other",599999.0,2,1,0,1
17,43.1408157,-80.2631733,Brantford,Townhouse,Row / Townhouse,Central air conditioning,Forced air,599000.0,3,3,0,0
18,45.041406,-74.733993,Cornwall,Detached,House,Central air conditioning,Forced air,579000.0,2,2,1,0
19,45.821328,-77.110488,Pembroke,Detached,House,Central air conditioning,Forced air,550000.0,3,2,0,1
